Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
5/9/2020 9:37,7.2,44.2,52.5,,,,,41000000000,0.14
5/9/2020 2:56,44.8,131,31.2,14.5,-13,-4,-5,41000000000,0.14
4/28/2020 5:43,20.1,109.4,,,,,,21000000000,0.076
4/18/2020 13:08,12.5,49.8,,,,,,27000000000,0.095
4/14/2020 11:11,65.6,45.6,,,,,,20000000000,0.073
3/26/2020 23:27,38.3,23.5,26.5,20.7,-10,3.2,17.8,124000000000,0.37
3/23/2020 16:51,24.4,67.9,25,,,,,133000000000,0.39
3/22/2020 6:44,,,,,,,,25000000000,0.089
3/4/2020 20:25,53.3,90.8,24.3,19.8,-5.2,2.2,19,394000000000,1
2/28/2020 9:30,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000,0.34
2/24/2020 22:21,3.6,96,,,,,,20000000000,0.073
2/10/2020 23:48,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,27000000000,0.095
1/27/2020 5:39,30.4,1.5,32.5,19.8,-2,-16.6,-10.6,44000000000,0.15
1/24/2020 11:13,28,35.8,32,21.2,-18.6,-9,-4.7,26000000000,0.092
1/21/2020 20:07,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,28000000000,0.098
1/17/2020 21:29,19.4,66,14.5,15.5,-13.2,8.1,1.2,97000000000,0.29
1/16/2020 9:31,71.7,116.4,27.8,12.9,9.8,-4.5,7,59000000000,0.19
1/15/2020 6:31,23.7,125.2,31.5,,,,,196000000000,0.55
1/6/2020 11:03,70.4,17.5,,,,,,45000000000,0.15
12/21/2019 14:30,56.5,147.6,35.5,22.2,14.9,-8.1,-14.3,65000000000,0.21
12/11/2019 1:19,47.7,161.7,37,17.8,13.7,-10.9,-3.3,39000000000,0.13
12/6/2019 10:19,3.3,37.7,19.5,,,,,46000000000,0.15
12/3/2019 6:46,5.6,52.2,61.5,,,,,42000000000,0.14
11/28/2019 20:30,35.7,31.7,35,13,-11.6,-2.5,-5.4,27000000000,0.095
11/28/2019 13:22,,,,,,,,26000000000,0.092
11/28/2019 11:55,22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,25000000000,0.089
11/5/2019 11:24,10.4,143.3,38,27.4,5.2,12.3,23.9,110000000000,0.33
10/22/2019 22:21,12,76,40.7,,,,,27000000000,0.095
10/10/2019 16:16,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,206000000000,0.57
9/28/2019 10:40,12.5,107.2,52,20.4,-10.1,11.2,13.7,23000000000,0.082
9/27/2019 13:35,25.7,28.4,,,,,,34000000000,0.12
9/14/2019 12:39,38.6,33.5,38,15.9,-12.9,8.1,4.6,109000000000,0.33
9/13/2019 2:02,18.6,126.9,27.4,13.5,5.2,-8.1,9.5,42000000000,0.14
9/12/2019 12:49,54.5,9.2,42,18.5,-18.1,-0.4,3.7,169000000000,0.48
9/12/2019 2:34,24.9,47.8,30.6,17.2,-11.7,11.7,4.6,59000000000,0.19
8/24/2019 12:02,21.9,130.4,39.8,13.4,11.1,-5.2,5.4,40000000000,0.13
8/22/2019 21:47,24.4,92.9,30.2,,,,,20000000000,0.073
