,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
165,2018-11-17 21:48:00,47.3,172.9,32.5,19.1,7.6,17.3,-2.7,220000000000,0.61,2018,November
170,2018-10-05 00:27:00,39.8,31.7,31.5,14.7,-13.2,-6.5,-0.4,38000000000,0.13,2018,October
171,2018-09-25 14:10:00,23.5,56.8,33.0,16.5,-16.2,2.8,0.6,806000000000,1.9,2018,September
172,2018-09-25 00:16:00,34.3,44.9,40.7,12.5,-11.0,2.5,-5.5,53000000000,0.17,2018,September
176,2018-08-27 04:36:00,1.7,141.4,33.0,16.1,9.8,-9.6,-8.4,24000000000,0.09,2018,August
179,2018-07-25 21:55:00,76.9,69.0,43.3,24.4,20.4,12.9,-3.8,877000000000,2.1,2018,July
181,2018-06-26 17:51:00,32.0,12.1,63.0,14.1,-10.0,-1.0,-9.9,29000000000,0.1,2018,June
182,2018-06-21 01:16:00,52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5,1220000000000,2.8,2018,June
183,2018-06-02 16:44:00,21.2,23.3,28.7,16.9,0.9,-16.4,3.9,375000000000,0.98,2018,June
186,2018-05-03 07:23:00,46.9,7.5,39.0,11.5,1.3,-2.1,-11.2,38000000000,0.13,2018,May
187,2018-04-30 13:17:00,45.5,1.4,34.0,13.1,8.7,-9.5,2.5,30000000000,0.1,2018,April
188,2018-04-21 12:06:00,59.0,45.8,28.2,14.6,7.1,-4.6,11.9,36000000000,0.12,2018,April
189,2018-04-19 14:02:00,7.5,3.6,30.0,20.9,-9.1,-2.5,18.6,72000000000,0.23,2018,April
190,2018-04-19 13:39:00,22.2,72.6,31.5,10.9,-5.9,-9.1,1.4,512000000000,1.3,2018,April
192,2018-02-21 01:28:00,13.5,37.1,31.5,13.1,-0.9,13.1,-0.4,71000000000,0.22,2018,February
196,2018-02-01 12:21:00,19.4,104.3,37.0,16.5,8.1,-8.4,-11.7,190000000000,0.53,2018,February
198,2018-01-15 02:18:00,52.0,57.2,43.6,23.7,18.6,-12.1,8.4,199000000000,0.56,2018,January
