Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2020-02-10 23:48:00.000000,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,27000000000,0.1,2020
2020-01-27 05:39:00.000000,30.4,1.5,32.5,19.8,-2.0,-16.6,-10.6,44000000000,0.15,2020
2020-01-24 11:13:00.000000,28.0,35.8,32.0,21.2,-18.6,-9.0,-4.7,26000000000,0.09,2020
2020-01-21 20:07:00.000000,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,28000000000,0.1,2020
2020-01-17 21:29:00.000000,19.4,66.0,14.5,15.5,-13.2,8.1,1.2,97000000000,0.29,2020
2020-01-16 09:31:00.000000,71.7,116.4,27.8,12.9,9.8,-4.5,7.0,59000000000,0.19,2020
2020-01-15 06:31:00.000000,23.7,125.2,31.5,,,,,196000000000,0.55,2020
2020-01-06 11:03:00.000000,70.4,17.5,,,,,,45000000000,0.15,2020
2019-12-21 14:30:00.000000,56.5,147.6,35.5,22.2,14.9,-8.1,-14.3,65000000000,0.21,2019
2019-12-11 01:19:00.000000,47.7,161.7,37.0,17.8,13.7,-10.9,-3.3,39000000000,0.13,2019
2019-12-06 10:19:00.000000,3.3,37.7,19.5,,,,,46000000000,0.15,2019
2019-12-03 06:46:00.000000,5.6,52.2,61.5,,,,,42000000000,0.14,2019
2019-11-28 20:30:00.000000,35.7,31.7,35.0,13.0,-11.6,-2.5,-5.4,27000000000,0.1,2019
2019-11-28 13:22:00.000000,,,,,,,,26000000000,0.09,2019
2019-11-28 11:55:00.000000,22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,25000000000,0.09,2019
2019-11-05 11:24:00.000000,10.4,143.3,38.0,27.4,5.2,12.3,23.9,110000000000,0.33,2019
2019-10-22 22:21:00.000000,12.0,76.0,40.7,,,,,27000000000,0.1,2019
2019-10-10 16:16:00.000000,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,206000000000,0.57,2019
2019-09-28 10:40:00.000000,12.5,107.2,52.0,20.4,-10.1,11.2,13.7,23000000000,0.08,2019
2019-09-27 13:35:00.000000,25.7,28.4,,,,,,34000000000,0.12,2019
2019-09-14 12:39:00.000000,38.6,33.5,38.0,15.9,-12.9,8.1,4.6,109000000000,0.33,2019
2019-09-13 02:02:00.000000,18.6,126.9,27.4,13.5,5.2,-8.1,9.5,42000000000,0.14,2019
2019-09-12 12:49:00.000000,54.5,9.2,42.0,18.5,-18.1,-0.4,3.7,169000000000,0.48,2019
2019-09-12 02:34:00.000000,24.9,47.8,30.6,17.2,-11.7,11.7,4.6,59000000000,0.19,2019
2019-08-24 12:02:00.000000,21.9,130.4,39.8,13.4,11.1,-5.2,5.4,40000000000,0.13,2019
2019-08-22 21:47:00.000000,24.4,92.9,30.2,,,,,20000000000,0.07,2019
2019-08-16 20:36:00.000000,38.9,7.0,36.0,14.9,-3.9,4.0,-13.8,25000000000,0.09,2019
2019-07-23 20:42:00.000000,44.6,147.6,30.6,16.1,1.5,15.1,-5.5,255000000000,0.69,2019
2019-06-30 16:52:00.000000,21.2,129.5,59.0,42.3,25.2,31.2,-13.3,32000000000,0.11,2019
2019-06-30 08:11:00.000000,2.5,168.7,,,,,,21000000000,0.08,2019
2019-06-22 21:25:00.000000,14.9,66.2,25.0,14.9,-13.4,6.0,2.5,2950000000000,6.0,2019
2019-06-20 06:07:00.000000,7.3,67.6,37.0,,,,,28000000000,0.1,2019
2019-05-26 10:07:00.000000,56.6,25.3,24.4,17.5,3.8,-5.8,16.1,42000000000,0.14,2019
2019-05-25 06:44:00.000000,19.2,89.4,29.2,15.8,0.2,-15.7,2.1,49000000000,0.16,2019
2019-05-22 15:16:00.000000,10.8,37.3,32.6,,,,,95000000000,0.29,2019
2019-05-21 13:21:00.000000,38.8,137.5,31.5,11.5,4.4,-8.5,6.4,656000000000,1.6,2019
2019-05-19 14:47:00.000000,23.6,132.8,33.3,15.2,7.3,-12.2,5.3,33000000000,0.11,2019
2019-05-12 22:41:00.000000,6.2,57.1,,,,,,21000000000,0.08,2019
2019-05-04 15:35:00.000000,28.4,88.3,26.5,,,,,22000000000,0.08,2019
2019-04-22 21:42:00.000000,48.8,67.8,33.3,11.4,3.4,-4.2,10.0,124000000000,0.37,2019
2019-04-14 17:54:00.000000,18.3,74.6,30.6,15.9,-2.5,5.9,-14.6,29000000000,0.1,2019
2019-04-06 11:59:00.000000,56.5,94.9,41.5,18.1,6.2,11.1,-12.9,70000000000,0.22,2019
2019-04-04 22:19:00.000000,35.3,93.9,,,,,,28000000000,0.1,2019
2019-03-27 12:50:00.000000,41.8,7.4,,,,,,22000000000,0.08,2019
2019-03-19 02:06:00.000000,24.0,140.3,28.7,16.2,10.2,0.4,12.6,20000000000,0.07,2019
2019-03-15 12:26:00.000000,63.7,95.7,31.5,14.4,5.4,-13.2,1.7,46000000000,0.15,2019
